id,Average national import,Biofuel utilisation,Curtailment,EV as flexibility,Electricity production Gini coefficient,Fuel autarky Gini coefficient,Heat electrification,Storage discharge capacity,Transport electrification,Biofuels,Hydro,Nuclear heat,Offshore wind,Onshore wind,PV,Waste
18,0.4041544864384929,0.5376726231241775,0.09215589983197538,0.8378906332234034,0.8890329872119057,0.8760899959230883,0.9688240189929378,0.15235541408952905,0.9999999999999996,1297.9513553544025,539.7774793186062,822.2852722194748,5175.907209635648,6212.561011083665,1350.5138371553614,246.76105865778567
19,0.3299030135582664,0.8011755621344779,0.48038648645834864,0.9743691346101329,0.8065608419802642,0.7441434383116544,0.7156318099070256,0.7837739235489224,0.9862365389768893,1934.052176037807,507.35435648685547,697.1117437569806,89.23543407038383,10133.026431811697,3070.5414048826965,246.77697786452447
20,0.41505750532421254,0.5186582718390044,0.10737476176253033,0.8281218919305345,0.9248864143383292,0.8834555484476685,0.9680661339384006,0.16294412066687838,0.9999999999999996,1252.050370330519,541.1329269883819,821.9196106253557,4438.3103988202965,7042.6833425292125,1293.6425154967812,246.76105992619202
21,0.42610544620260066,0.16824047634600012,0.21180581206886745,0.8919407874622094,0.8958852284945749,0.9994990936080105,0.9947082099013032,0.1236407603297946,0.9999999999999996,406.13552728409667,538.7749201038283,758.9042197838246,0.0,11648.32818234615,1770.4710757255402,246.76182373119786
22,0.4006597062943878,0.8877930043641359,0.0690671504564876,0.8769132360764472,0.9106130233786183,0.8143986796481582,0.9483453671932934,0.15355051660437818,0.9999999999999991,2143.148235059862,540.7224285043216,818.7499038375647,5948.6222507904195,4777.275587523028,1520.1269880446096,246.76105996189904
23,0.5071726240440039,0.10803629748608785,0.2207802421220347,0.9741092673371594,0.9367398723880823,0.8612063006477887,0.9880094218002136,0.18074087457335977,0.9999999999999996,260.8015597572159,529.5875684496419,717.6334368501603,4653.45675836488,5907.926490385281,3000.645166339419,246.76121385461974
24,0.3675302970563108,0.9978766823066798,0.30980126148451465,0.8163672870141596,0.9017533848888512,0.933770251641902,0.905819752872555,0.13772093120085596,0.6708316642495845,2408.8922079586337,529.2856863940084,739.4553427452939,2124.987321916711,8834.757709571822,1845.1695925724161,246.7610594397275
25,0.4086673573164242,0.10456014519329743,0.19549516599647462,0.8161198852621846,0.9655834726557337,0.9931929294819604,0.9911863105858177,0.12905108683637265,0.9999999999999996,252.4100657777956,538.7975987020266,718.6306957785774,5188.9782725794485,7038.7904749794625,1296.54072137192,246.7612119888407
26,0.4344241347888433,0.2259391473297045,0.08359048110452626,0.8349342229739484,0.9300653193082383,0.9575094112165741,0.9602808584306654,0.1851462102841024,0.9999999999999996,545.4211538616482,539.2991532214626,819.698577863234,6054.519177375295,5770.314779389474,1459.6467091424295,246.7616831787127
27,0.4984114413482379,0.999994892964561,0.5946006745712478,0.9343772298304159,0.8594562331804945,0.6964863298414479,0.9983540560161153,0.21859197307871212,0.9999472603070148,2414.0056064767646,484.90416146139665,676.296462957707,469.3316944012411,9681.130886778732,2136.673022126398,246.8138471721266
28,0.5248046969638233,0.10760530919580519,0.22212415783489028,0.973032963351704,0.9404525008028537,0.8617368055698069,0.9882310289771645,0.18299654701756415,0.9999999999999996,259.76114629471925,530.5511750161144,716.3102731492484,4735.918610721914,5849.155078227335,2976.72404090806,246.76111498237543
29,0.46238022271660284,0.25933616981863133,0.11300256853276225,0.8770243714145705,0.9620761249359397,0.9963648600789048,0.9484132822595907,0.16160452616804857,0.9999999999999996,626.0421651239097,536.2575884305369,734.619993186438,6234.436743874081,5304.3819459283395,1774.8083844405742,246.76200121650973
30,0.3856686494166081,0.21979799155577712,0.1306192202898564,0.8066230826873884,0.9731401370058979,0.8951126972538949,0.9597783289842637,0.15273832401983448,0.9999999999999991,530.5962936820541,541.6326516454868,814.9801355352226,5741.259756865537,6290.38928837746,1261.4049402020087,246.76174406541432
31,0.4102863773759688,0.4611372448264141,0.0840010377035758,0.8552030177329489,0.9147222438987048,0.9529167638624397,0.9745465915343156,0.16594629698401062,0.9999999999999991,1113.193579485273,540.1193044867649,823.1845647599215,5221.102304809643,6192.239422800449,1470.1149718621296,246.76138627241852
32,0.33017235029161685,0.0,0.42193633613013437,0.9621217509400953,0.8255942167792333,0.8254845880093354,0.9495261744682881,0.5591420336475202,0.9974208399367755,0.0,513.4200655779931,694.3565146114756,61.160648125290884,11311.128673290532,3286.713540141684,246.76105751413496
33,0.47164378871211454,0.14123753484975995,0.188837876043766,0.967616329001206,0.9356219064168343,0.8773459067734329,0.9728397741598971,0.1693345981051044,0.9999999999999996,340.9499422157158,533.1855430436813,713.8205153787281,5433.3011601406515,5269.713978202575,2821.8670951123577,246.76113829079264
34,0.38580073104139634,0.6601766103290164,0.0891843792628457,0.8575323929024725,0.9208591552488837,0.8271319844236772,0.9327463178521262,0.182593949076635,0.9999999999999996,1593.6781775700028,543.3844554747682,726.2649837162814,5378.8181685162945,5880.291757607963,1401.3061237241977,246.7617875101026
35,0.49789429742065267,0.8775029210258867,0.4372705110400728,0.8063957349177878,0.9254120174176182,0.8866027975541745,0.885591938947416,0.14023726468483014,0.909868729128645,2118.3077893291793,532.6686071047861,728.8879071608485,3981.622594255724,7010.781668081657,1574.5297400745083,246.76105991659492
36,0.4374018071467173,0.8357354834282891,0.3541061558265676,0.7668085771080205,0.8835017670984862,0.8405345832412682,0.8919667257583591,0.11274772185206235,0.9998958286039992,2017.4804458715937,532.7418771070196,784.0981298710137,4470.781749359441,6649.010896500427,1291.3047531714178,246.76106107743018
37,0.4579033064560052,0.9528731679957922,0.07639300948052764,0.975508607338667,0.9554486601141534,0.8792218766024956,0.7576453380115973,0.10693736125744337,0.9999999999999996,2300.2529172762856,539.4912576688453,702.2277182106641,8560.752600295289,1138.1828351215006,2715.486978915077,246.76105860526914
38,0.3984547054385322,0.21008305383531808,0.07027428959897707,0.8880880996073569,0.912285312190763,0.9350533365346344,0.9662107714907395,0.19230782217281603,0.9999999999999996,507.1442597879252,540.8054766290556,817.0114427441978,5617.8977907075905,5883.149832958458,1809.6540359203095,246.7616581394867
39,0.38580073104139634,0.6601766103290164,0.0891843792628457,0.8575323929024725,0.9208591552488837,0.8271319844236772,0.9327463178521262,0.182593949076635,0.9999999999999996,1593.6781775700028,543.3844554747682,726.2649837162814,5378.8181685162945,5880.291757607963,1401.3061237241977,246.7617875101026
