id,Average national import,Biofuel utilisation,Curtailment,EV as flexibility,Electricity production Gini coefficient,Fuel autarky Gini coefficient,Heat electrification,Storage discharge capacity,Transport electrification,Biofuels,Hydro,Nuclear,Offshore wind,Onshore wind,PV,Waste,Wind
132,0.3837599853213749,0.2455141757033178,0.1038040715110748,0.8155653208281306,0.9616094530908617,0.9683999576791924,0.9524114021141508,0.0199137178918761,0.9999860830498796,592.6756234327434,541.7109923799811,324.4094609461749,5826.751121687731,6087.371410412776,1330.9320537656597,246.7644008404851,11914.122532100508
133,0.4706288085318962,0.4098293937350704,0.097512615609585,0.8488111777856787,0.9413009132750788,0.8885938928529227,0.9318398776253488,0.0094962948351989,0.9999893124114944,989.3355067469282,540.3364883408399,325.756275576745,5443.606021359826,6097.646003552655,1547.9268601012502,246.7644689010233,11541.252024912481
134,0.3993375065339045,0.0992749278560642,0.1872846415560514,0.816340510019958,0.9694197508277514,0.9778399084354084,0.9942066791219568,0.1372546533614748,0.9999934779845976,239.6514563355959,538.7928019108152,286.9566636078656,5179.039619880094,7051.44923033484,1299.142429376207,246.76422453361772,12230.488850214933
135,0.4117852821554316,0.4054290825195544,0.1181949774711783,0.8161718790495509,0.9894236727971946,0.874003602911621,0.9361749650906892,0.1450206211910057,0.9999986236275604,978.713076553302,541.0632206475535,326.4469831652326,5826.907169065559,5984.738109754073,1266.7023093316452,246.7637980132324,11811.645278819633
136,0.3971734935713509,0.5435483369126848,0.0887990670580311,0.8192171948294008,0.947042398618979,0.9254240107401274,0.960433395987738,0.1724189188736845,0.99998475870077,1312.135433820504,541.5369834561527,328.2940000901464,4971.305503845862,6514.70875555056,1252.3749945546197,246.76375617448943,11486.014259396423
137,0.4173330617945541,0.4537423800982024,0.077438297193958,0.8631273318093704,0.9166453803022772,0.9621075075016984,0.9754380578722448,0.1705653915909269,0.9999876581317624,1095.342243404827,538.9417065909844,329.63192668062106,5077.260038343096,6247.620761857309,1566.648195950159,246.7641141783965,11324.880800200404
138,0.2205486918164835,0.9990408214189452,0.1417583546374933,0.9380768038196872,0.8150789916705564,0.9663980146412776,0.5309847229834775,0.473077127136072,0.9999806926634972,2411.702460654422,547.2855686644549,301.63328202657374,3796.01419055345,5932.867134213042,2210.499709807908,246.76378246888711,9728.881324766491
139,0.4602963920175082,0.2603676792591068,0.0563699655809434,0.8896022604326097,0.8797524715113695,0.9396613369335046,0.953421836739516,0.1685327723095283,0.9999827774631312,628.5322474132903,538.1703020388442,321.3768504338644,6025.150462612344,5404.9143791020215,1814.3122572728732,246.76451208561525,11430.064841714366
140,0.3273145900270983,0.7953622900113707,0.4290399345408326,0.9750977186303182,0.8049603992135164,0.7649572475593464,0.7216474680971839,0.7430803108726763,0.9882627903866535,1920.0188328718696,504.5169059734955,277.7341012534304,9.482233191458985e-06,10172.081990995744,3129.741347072847,246.76375369355023,10172.082000477978
141,0.4890654260129169,0.0917797435098401,0.3065506676125631,0.980294979108606,0.8587648073856501,0.9023253150107086,0.996146385400394,0.1520123198821704,0.9999972080245416,221.5579468980401,530.2538904863949,298.41729962647474,0.0026939313960414,10015.195990255314,3567.6531802571485,246.7639367819002,10015.19868418671
142,0.2489937914440835,0.8525280376296778,0.3399963651340261,0.9877552020655256,0.7201451738368575,0.7552945014347175,0.7197627389282456,0.6283786179093,0.9911898000530988,2058.0179728873973,511.0184696933217,284.7689909435013,512.909442617316,9071.84430476042,3493.015019071332,246.76375713416965,9584.753747377736
143,0.4599984402976202,0.9507933452101888,0.0570867502466194,0.968791163133592,0.9276570122204628,0.9787252121367044,0.7724024108866793,0.1244895302464303,0.9999933954028996,2295.232187770317,543.7497837980409,288.81339641889736,8513.823490580362,1253.923492063397,2561.476325494367,246.76375374961685,9767.74698264376
144,0.4282387665013736,0.2518583258646707,0.0566721833759885,0.8488687128886456,0.9089529357735472,0.9575729284414556,0.9560546111488936,0.1972927908870408,0.9999845386398116,607.9905157042773,536.6039522222729,327.9764825090928,5938.471034534167,5753.952469484151,1557.8339067598051,246.764299695843,11692.42350401832
145,0.5328421056587435,0.353711996191375,0.1089529436188155,0.8894191449106755,0.939385873525378,0.8648583571616519,0.940428513023101,0.0089841249542717,0.9999976601797864,853.8671026136202,530.1262812001265,295.97535031000587,5880.804478620379,5469.597212629534,1865.8920754792337,246.76400864391704,11350.401691249914
146,0.5074896057941052,0.9999485990176904,0.2829736656670675,0.966033652462148,0.8665188235046851,0.7505151054819823,0.9999134008737954,0.175340809744187,0.9999850979506052,2413.8938520587385,513.5484742624215,270.16762777137893,3178.637383052692,6525.72843605141,2296.8845279688794,246.76413842812627,9704.365819104103
147,0.4053515778926405,0.2332295486614187,0.0727463280428103,0.8629737514058101,0.9212220561698792,0.9266932157932238,0.9610403791066758,0.1412513772342686,0.999984981030679,563.0203134294035,540.9055928145339,327.32405990528105,6443.121094489097,5248.486147670913,1579.56679038195,246.7645716558266,11691.607242160011
148,0.394516406944021,0.219797991555777,0.1228462341942091,0.8066230845112121,0.970138583870318,0.9506517022170076,0.9597981997660197,0.158029267557557,0.9999851537134652,530.5962936820541,541.6326516454869,325.9920542140891,5741.2597568655365,6290.389288377459,1261.4049402020096,246.7644627400838,12031.649045242995
149,0.4029056360792552,0.2100830538353179,0.059259305075366,0.8880881016153793,0.9098326515518714,0.964800212435466,0.9662310283227344,0.1975257825958774,0.999983448170075,507.1442597879252,540.8054766290554,326.8045770976792,5617.897790707593,5883.149832958455,1809.6540359203095,246.76437385119277,11501.047623666047
150,0.4310355421487134,0.9719839922603029,0.2177541180391763,0.9880074268507352,0.7945589592104123,0.941700133173949,0.5280919686174745,0.4488308426808044,0.9999820010266788,2346.3867898025287,545.1651354301915,304.85642614590296,1843.602758263572,7348.510014403072,2968.834678728032,246.76376784851684,9192.112772666644
151,0.404345261378737,0.0992464482017112,0.1872688949014097,0.8163657706151387,0.9694115780672508,0.977613416089983,0.9942063791939076,0.1372134834990916,0.9999938081957862,239.58270593920668,538.7930843113222,286.97376891656324,5179.298145406475,7051.24814259792,1299.0779615123631,246.76410933703409,12230.546288004396
152,0.3933758297912649,0.9993521538383688,0.1711143325275785,0.9538119986292,0.85692522407989,0.9216243908234064,0.074657473577347,0.064096694601634,0.9999937698564872,2412.4540226986405,539.2702008278982,301.2853338740757,3377.1112679169287,8026.08503924378,2784.655483180838,246.7637732928309,11403.196307160708
